Origin Countries,State Code,AFG,ALB,DZA,ASM,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COD,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NIU,NFK,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROM,RUS,RWA,SHN,SPM,WSM,SMR,STP,SAU,SEN,SRB,SCG,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,WLF,YEM,ZMB,ZWE
Afghanistan,AFG,0,0,13,0,2,0,0,0,13,0,0,749,217,0,1,13384,132,0,0,41,0,0,3,0,0,0,0,1,1,179,0,0,0,0,5905,0,0,0,0,0,0,1,0,5,0,0,25,0,0,0,18,3,42,0,0,3,0,6431,0,0,0,0,0,13,0,6,4,110,0,0,0,0,0,592,2,0,48,0,0,0,0,1,0,0,0,0,0,4,101,0,5397,15,284019,117,13,278,0,10,170,0,53,0,0,1,1164,0,0,0,102,0,0,573,0,0,4,4,0,0,0,20,1,0,0,1,0,0,0,0,4,0,0,6,0,0,11,0,8,0,4,23,0,0,0,133,20,0,2,0,0,0,6,269,22442,0,2,20,0,2,44,50,8,0,1508,0,0,0,0,0,0,0,0,4522,0,0,5,0,1,10,1,0,0,0,2,0,139,6,0,0,174,111,4931,0,0,7,89,0,0,0,2,0,61,3653,0,0,0,1,0,8290,548,4832,0,0,2,11,0,0,0,0,1966,2,1
Albania,ALB,0,0,5,0,60,0,0,0,45,0,0,1315,605,0,0,4,2,0,0,900,0,5,2,0,0,196,0,0,0,92,2,1,0,7,2655,10,0,15,0,0,0,0,0,426,19,0,0,57,1901,28,2,14,5,0,0,13,0,158,0,0,5,0,12,0,0,0,78,8,0,0,8,4,0,2092,4,0,4728,0,0,2,0,5,28,0,0,0,0,0,465,5,12,30,2,3,16,12096,0,0,37,0,3,0,0,2,1,0,2,0,0,0,0,0,11,0,46,0,343,12,0,3,0,0,0,0,0,0,0,0,5,1,0,63,0,0,0,0,9,1,0,1,215,0,0,22,23,34,183,0,0,0,15,2,11,0,0,0,0,0,85,87,33,1,6,949,0,19,0,0,0,0,0,20,2,0,1885,0,2,2,5,552,0,8,157,242,0,1,0,0,1797,4631,13,0,0,3,203,0,40,0,0,2,2,1344,0,0,0,2,0,28,158,7963,0,0,0,5,0,0,0,0,16,6,6
Algeria,DZA,17,0,0,0,100,2,0,5,0,0,5,1033,673,0,4,1,87,0,0,12179,0,82,1,0,2,55,0,94,0,35,177,0,0,0,2360,4,0,5,0,15,0,14,0,260,0,0,41,224,0,71,210,4,433,2,0,55,2,1087,2,0,7,0,72,0,0,0,237,1424707,519,744,4,1,0,14291,34,28,1669,0,0,888,0,5,2,0,0,2,1,0,354,23,2795,49,0,180,736,5306,4,7,76,0,1,0,0,3,127,0,3,0,193,1,0,3535,0,0,490,0,95,4,178,18,0,433,1,0,426,2,2,0,0,0,0,680,0,0,17079,3,52,5,2,62,710,18,859,13,36,644,8257,0,0,0,148,5,470,0,0,6,0,10,139,144,94,13,2854,0,0,0,0,16,0,0,0,46,4,0,528,0,21,11,1,0,0,12,744,0,6,935,0,2,3265,6864,9,0,0,1,273,0,5,0,0,19,16256,1308,0,0,0,20,0,63,2479,4843,3,0,0,55,0,2,0,0,1742,268,734
American Samoa,ASM,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,14,0,0,1,0,0,4,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,179,0,0,0,12,0,0,3,0,5,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,1281,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,1469,0,0,0,0,0,0,0,6,5,2,0,0,0,0,0,0,0,0,0,9604,0,0,7,0,0,0,0,0,4,0,0
Andorra,AND,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37,3,0,0,0,0,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1548,0,0,0,0,0,0,0,0,0,2,0
Angola,AGO,2,0,0,0,3,0,0,0,0,0,0,145,74,0,0,0,11,0,0,79,0,29,0,0,21,6,72,7001,0,2,0,0,0,0,835,1,0,12,3,51,0,25,0,697,5526,0,3,80,0,0,46,0,26,8,0,10,29,2,0,1,35,0,191,0,0,0,27,141,94,0,190,4,0,314,0,3,57,0,0,3,0,1,0,0,0,0,0,0,46,3,358,60,0,0,78,1608,0,1,0,0,5,0,0,0,0,0,3,0,0,51,0,0,0,0,55,0,11,10,5448,2,0,0,0,0,3,0,64,0,0,0,0,76,0,0,0,54,64,34012,0,8,1,0,0,15,6,0,2944,0,0,0,6,0,60,0,0,0,0,181,171,9,105233,0,0,0,0,1,0,0,0,0,565,0,0,0,59,23,0,0,0,0,0,59,3414,0,0,275,0,74,344,286,0,0,0,6,335,0,2,0,0,0,0,0,0,0,0,9,0,0,6480,1347,34,0,0,968,1,0,0,0,0,27957,57
Anguilla,AIA,0,0,0,0,0,0,0,4,0,0,66,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,4,242,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,8,0,0,0,0,5,438,0,0,0,0,0,1267,3,0,0,0,0
Antigua & Barbuda,ATG,0,0,0,0,0,0,35,0,0,0,14,2,0,0,32,0,0,238,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,317,0,1,0,0,0,0,0,0,1,0,0,0,0,0,122,0,0,0,0,197,463,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,33,136,0,0,0,0,40,33,0,0,5,0,0,118,0,0,0,0,77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,236,0,0,126,0,0,0,0,156,0,5,0,1,25,0,0,0,0,0,0,0,0,0,0,0,337,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,662,0,2,0,0,139,0,0,0,28,0,0,0,0,9,4533,0,0,0,0,2,5189,397,0,3,0,0
Argentina,ARG,0,0,0,0,6,0,0,3,0,0,8,8783,564,0,18,18,0,34,0,495,8,5,10,0,14647,3,0,26427,0,10,0,1,0,6,2992,6,1,0,2,18862,6,1730,0,27,0,0,429,14,0,206,45,4,825,0,0,1502,1563,36,135,0,0,0,0,6,7,1,190,9699,20,4,1,0,0,5144,0,9,238,1,0,3,0,320,5,0,20,5,40,0,208,2,0,15,0,11,107,16981,10,173,6,0,6,0,2,8,11,0,0,0,5,28,0,2,0,0,25,0,5,1,5,5,0,0,0,0,3,0,0,0,6004,5,0,35,0,0,0,14,16,23,7,0,625,24,0,217,133,62,1085,0,0,0,370,5,0,0,551,8,37611,4861,44,58,377,563,67,0,0,2,0,0,5,0,0,4,10,0,29,0,11,3,2,2,1,0,920,35637,0,0,180,2,2204,283,2,0,0,2,86,0,72,0,2,46,4,278,0,0,0,0,0,25,3589,77600,16613,0,4,10340,0,0,0,0,47,333,65
Armenia,ARM,0,5,0,0,1,0,0,0,446,0,0,234,87,165099,0,13,0,0,0,69,0,3,8,0,7,0,0,484,0,916,0,13,0,11,1651,0,0,80,47,19,3,9,0,1781,246,0,0,14,9,0,244,37,149,5,0,3,9,51,0,3,24,0,51,0,0,0,23,376,0,0,3,18,38679,781,2,0,157,0,0,0,0,0,88,0,0,0,0,29,943,0,14,69,0,84,3,184,0,2,0,7718,1015,0,0,9,1,1406,6,0,9,0,0,22,0,0,4,30,0,25,0,0,0,8,8,0,0,0,3,0,24,0,896,6,0,0,0,28,650,0,0,0,10,0,0,10,0,33,298,0,0,0,4,0,3,0,0,0,28,41,197,1914,0,0,129,4,103733,24,0,0,0,9,0,7,0,0,5,0,1,0,15,0,0,41,64,0,2,874,0,0,101,68,5,0,1980,167,525,0,39,0,0,0,2,182,3698,0,0,39,25378,8,1464,49945,103,10296,0,40,1,0,0,0,1350,22,13
