"","FIPS_CNTRY","OUT1980_lagged","OUT1980_Ii","OUT1980_Iisig","OUT1990_lagged","OUT1990_Ii","OUT1990_Iisig","OUT2000_lagged","OUT2000_Ii","OUT2000_Iisig","IN1980_lagged","IN1980_Ii","IN1980_Iisig","IN1990_lagged","IN1990_Ii","IN1990_Iisig","IN2000_lagged","IN2000_Ii","IN2000_Iisig"
"1","AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","AE",118982.5,0.104077762698247,0.433914651146236,181699,0.105477616021545,0.432528246664764,243980.5,0.122603661368869,0.424874461435377,983239,0.0563804720562795,0.461557513292251,2583265.5,0.43691335204415,0.222949053538288,2877273.5,0.563855449800198,0.125947443495026
"4","AF",988522.333333333,-0.0336070842211684,0.531698340940425,1078098.33333333,0.152082833912103,0.336371637433706,1315437.5,0.189150090865984,0.307060713488523,1103230.66666667,-0.108039596944211,0.614031738692632,1100696,-0.0734128243420156,0.582682638017117,949144.666666667,-0.0267594698225972,0.531711852244719
"5","AG",391827.142857143,-0.0598210489161418,0.564429198631943,454702.142857143,-0.056796650978119,0.561446578013785,482614.857142857,-0.0612910145692595,0.564301849030806,98672,0.049446709020565,0.436050088028895,122556.142857143,0.0496427112024091,0.430796779892733,142571.285714286,0.0414143478365596,0.431989434092405
"6","AJ",2542827.28571429,0.384389676528228,0.129609162429028,2984125.28571429,0.650304390731376,0.0276960109319495,2871829.85714286,1.01722839129146,0.0019583083268715,1954139.42857143,-0.0437878530191655,0.547731553406093,2428947.14285714,-0.0733890631394656,0.589260284590584,2548903.14285714,-0.108933679177469,0.653958057017134
"7","AL",412982.25,0.0158611283236739,0.482705878331023,320331.5,0.0458075178235937,0.456333972811591,348048.75,-0.0597966132709468,0.547180774607761,47950.75,0.0690317891326185,0.434245911504864,126803.5,0.0535090401011825,0.443990009360097,210558,0.0362239899047729,0.454334138446463
"8","AM",1056858.5,-0.0152118725955497,0.509786575224434,1269589.5,-0.0334353548860733,0.525861727074495,1665361,0.111970533194969,0.402733153640179,454953.25,0.000128900778522405,0.49627921136124,661680.5,-0.00894497378023769,0.504848804751511,673105.75,-0.00200078683552281,0.497742585118462
"9","AN",1662003,-0.380776401005398,0.719131763780087,1497040.5,-0.299221195447282,0.676653265550005,1438811,-0.270058922612311,0.654751827355521,3249984.5,-0.507347662084851,0.78952557890944,3363474.5,-0.384842181238823,0.744881541537617,4015794.5,-0.30527542930752,0.728383409060314
"10","AO",135732.5,0.0590665513593188,0.445210608781678,171021.5,0.0615749719849547,0.44259060149478,230017,0.0600706621355228,0.445891874406503,230325.75,0.0423425918646338,0.458166995967506,189104.75,0.0497476491379864,0.447632510545279,141732.75,0.0451754780307462,0.444228014464816
"11","AQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","AR",188475.8,0.0293323116602732,0.467511476652341,244724.6,0.0201424101623944,0.476272505573712,380451,0.00992160689601104,0.486805444169937,281186.4,-0.107322878144168,0.603485937717049,226757.8,-0.0936183028732234,0.59707399750233,206912.8,-0.0588660222982817,0.569481662211961
"13","AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","AU",1182617.75,0.073699302595532,0.404522433255754,1096962.375,-0.0151285960154729,0.513936903515589,1127421.75,-0.0292107191703689,0.530417957829757,1385127.75,0.100842920311032,0.367621173545711,1585736.125,0.0713067361151168,0.396680610263455,1982828.5,0.0742603346015825,0.376145668990592
"15","AV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","AY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","BA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","BB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","BC",169720,0.0795118429775656,0.427616353297853,246241,0.0837215216831799,0.423406783602971,322828.5,0.1043421414092,0.409016042949372,438894,0.00400449115168136,0.492773453448896,480673.5,0.00850864346525581,0.487791205208625,412991.5,0.0196510581067333,0.473118150545021
"20","BD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","BE",1069929.25,-0.0220909345874958,0.515780087322413,1174730,-0.0505625016366666,0.540858390827526,1385336,-0.119919401019953,0.597251014585262,3604132,0.575657910316038,0.0943514666086845,3741080.75,0.303812464209012,0.225390028425717,4400049,0.140016728325947,0.3405906152518
"22","BF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","BG",3914380.5,10.8133547843452,1.30570671171852e-62,4189287.5,9.43638882119195,6.1361297015386e-49,4921614,9.84747656556108,1.71321196301214e-49,4516745,0.585845203122401,0.172836042066885,3757791.5,0.296672244825122,0.301598964372925,3166890.5,0.127675418602445,0.395252034360838
"24","BH",54352,0.126755130755997,0.420216463747383,156911.5,0.115568090643929,0.426376606291798,290567.5,0.112542096299434,0.430782771385679,22226,0.0821196859714604,0.445253613030087,22336,0.0762837879357354,0.444813670495111,25227,0.055767150911048,0.452018549134873
