Origin Countries,State Code,AFG,ALB,DZA,ASM,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COD,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NIU,NFK,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROM,RUS,RWA,SHN,SPM,WSM,SMR,STP,SAU,SEN,SRB,SCG,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,WLF,YEM,ZMB,ZWE
Afghanistan,AFG,0,0,8,0,6,0,0,0,0,7,0,11128,2488,0,0,34419,158,0,0,209,3,0,4,0,2,2,0,28,0,826,0,0,3,0,21969,0,0,0,1,14,66,93,0,3,0,0,3,0,2,0,4,211,4198,0,0,7,19,277,0,0,0,0,0,0,0,9,322,2981,0,1,0,0,0,15529,11,0,357,0,0,0,8,0,0,0,0,0,3,599,81,0,9671,17,762129,0,93,202,0,206,62,0,0,0,6,0,88350,1174,0,32,23718,0,0,1011,2,35,1,4,29,2,0,103,4,0,5,0,0,1,1,0,9,0,0,9,0,0,9,2,5,0,0,74,26955,0,3,727,25,0,1,0,0,9,652,1148,14461,2,0,11,5,8,751,165,0,0,35442,0,406,0,0,0,0,0,0,12746,0,0,5,0,0,181,73,2,0,0,26,123,83,10,0,0,4239,2395,9172,1,1571,7,596,0,0,0,2,0,112,9630,0,0,0,0,197,26430,5,44893,0,0,0,10,19,0,0,0,2845,0,1
Albania,ALB,0,0,3,0,152,1,0,0,0,7,0,1437,2372,0,0,2,2,0,0,1951,4,12,3,0,12,753,0,1,0,424,2,0,4,8,6102,14,0,6,1,25,1,40,0,241,6,0,3,18,182,118,126,180,91,0,0,26,24,114,0,0,0,0,14,2,0,0,48,32356,0,0,21,9,0,221897,23,2,420838,0,0,4,0,2,12,0,0,0,3,14,359,20,58,32,4,0,184,275300,0,2,11,0,0,0,0,0,14,6,2,6,104,0,0,2,2,5,221,0,2146,14,0,23,0,0,0,0,2,0,0,0,8,0,0,93,0,0,0,1,10,2,0,4,509,2,0,62,30,8,70,0,0,0,152,7,7,0,15,0,0,18,600,70,0,10,156,691,417,92,0,0,0,0,0,56,5,0,4084,0,0,7,17,2,0,0,70,377,0,6,0,0,370,1817,25,0,0,7,1150,0,43,0,0,0,4,3313,0,0,0,6,202,88,0,40555,3,0,0,16,20,0,0,0,23,0,6
Algeria,DZA,54,0,0,0,254,3,0,5,0,0,0,990,546,0,3,9,104,6,0,8004,5,185,5,0,8,210,83,339,0,162,14,2,8,4,20298,0,6,2,0,43,44,21,0,147,0,0,9,313,3,203,20,330,932,5,8,77,17,1695,2,0,0,0,79,2,0,0,456,1057135,1842,17,5,8,0,20295,854,21,267,0,3,1734,0,5,76,0,0,4,3,364,293,23,4799,851,2,65,861,15861,12,179,339,0,10,0,4,0,223,16,3,8,1215,13,0,6234,7,5,347,0,2930,3953,172,120,2,588,6,0,995,1722,1,1,95,0,0,1000,0,0,13233,143,17,8,0,57,3873,2,1022,109,46,207,5373,0,0,0,749,20,303,0,16,4,1,17,606,483,0,119,1815,0,2,7,0,17,0,0,0,129,7,0,611,8,0,104,24,16,0,0,190,23269,3,640,0,6,1664,3959,16,0,0,0,1882,0,5,0,0,9,15846,656,0,0,0,3,0,200,40555,11717,15,0,0,84,42,31,7,0,2521,5,637
American Samoa,ASM,0,0,0,0,0,0,0,4,0,0,0,155,0,0,0,2,1,0,0,17,0,0,22,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,3,1,0,2,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,0,2,0,0,0,246,0,0,2,0,0,9,5,0,0,0,0,0,0,13,0,0,62,0,0,0,0,0,1,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,391,0,0,0,0,0,0,3,0,3,3,0,2,0,0,0,0,0,116,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,16339,0,0,6,1,0,3,0,0,6,0,0
Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,9,0,37,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,394,0,0,0,0,0,348,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,19,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2888,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,2,0,0,5,0,0,0,0,0,0,0
Angola,AGO,7,0,0,0,9,0,0,0,0,0,0,348,251,0,1,0,13,0,0,680,1,66,2,0,4,23,3857,6331,0,11,0,6,1,133,2429,2209,0,14,4,55,7,47,0,394,1693,0,2,118,0,2,0,136,124,16,0,22,21,23,0,0,10,0,211,0,0,0,110,12986,333,2,529,21,0,7231,2,2,13,0,0,5,0,1,6,0,2,0,0,50,38,19,614,65,0,0,520,1750,0,45,0,0,36,0,0,0,0,5,3,1,0,1,0,0,0,0,351,0,327,2,5258,15,0,0,0,0,6,0,51,5,34,0,0,112,0,0,0,5244,21,52200,0,7,6108,0,1,18,8,80,1916,0,0,0,105,0,39,0,14,0,24,26,2450,29,167578,1,0,0,0,19,0,0,0,0,940,0,0,0,68,82,0,10,31,4,0,18,11882,1955,0,467,0,200,428,4300,0,0,0,1102,2313,0,2,0,0,0,0,8,0,0,0,14,0,0,33459,8412,10,0,0,216,57,0,0,0,0,22777,49
Anguilla,AIA,0,0,0,0,0,0,0,24,0,0,12,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,28,0,0,15,0,34,0,0,0,0,0,0,0,28,0,0,0,0,13,170,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,3,0,12,78,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,5,0,0,0,0,6,417,0,0,0,0,0,1105,1,0,0,0,0
Antigua and Barbuda,ATG,0,0,0,0,0,0,113,0,0,0,44,22,1,0,17,0,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2288,0,97,0,0,0,0,32,0,0,0,0,0,0,0,96,0,5,0,0,290,325,5,14,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,3,0,0,8,0,41,276,0,0,0,0,0,60,0,0,4,0,0,128,0,0,4,11,221,8,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,16,0,0,41,0,0,0,23,1058,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,17,5791,1,0,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,10,0,0,0,0,4566,0,2,0,0,144,0,0,0,16,0,0,0,0,12,19151,0,0,0,2,125,4842,509,0,4,0,0
Argentina,ARG,0,0,0,0,16,2,2,6,0,0,123,10749,339,0,9,16,0,15,0,719,4,11,27,0,27612,11,30,27553,0,46,0,0,3,2,13536,0,14,0,2,45713,207,2654,0,15,0,1,1103,4,184,181,39,312,931,0,0,3221,2183,330,163,0,0,0,0,2,35,0,173,17999,69,42,3,0,0,5112,1,10,254,1,6,6,4,345,9,0,40,9,139,10,173,13,0,17,0,0,265,20311,28,3061,13,0,0,2,18,0,37,11,0,17,897,7,0,3,13,73,115,0,161,3,5,56,0,0,2,0,8,72,5,0,6564,0,0,52,0,0,0,180,5,36,0,0,2215,48,13,382,170,10,618,0,0,0,544,21,0,0,811,4,64284,3586,638,190,1094,281,1340,0,1,0,0,0,10,0,0,10,18,0,875,0,0,32,57,172,2,0,1004,83803,0,10,324,18,2408,1359,4,18,0,4,594,0,78,0,1,21,7,142,0,2,0,0,0,78,10198,133210,25146,0,2,8733,16,8,0,0,68,0,56
Armenia,ARM,0,6,0,0,4,0,0,0,1497,0,0,887,654,89898,0,33,0,0,2035,195,0,6,13,0,10,2,11,971,0,4221,0,2,2,0,1879,0,0,3,59,10,425,15,4,1007,75,0,5,2,25,0,537,930,569,11,0,7,15,184,0,3,2,600,57,1,0,1,89,2961,3,0,5,37,23674,21695,9,0,7438,0,0,0,1,0,4,0,0,0,0,4831,770,4,0,75,615,0,52,280,0,48,26,8481,23,0,38,0,84,667,6,1031,300,1,0,39,1,684,6,35,28,12,0,0,0,0,47,0,0,4,13,3,52,0,1081,9,0,0,0,16,24,1,0,0,252,0,0,21,0,8,146,0,0,1,36,1,2,0,4,0,164,2,153,905,19,0,448,8,481328,63,0,0,0,10,0,20,0,0,5,0,0,0,105,27,0,3,27,2502,1,358,0,0,448,705,9,0,1731,138,2671,0,42,0,0,0,4,801,3252,0,0,19,52168,25,15,99985,238,10008,0,29,30,0,0,0,1954,3,11
